ID,Region,VesselType,OverlapMean,OverlapMedian,OverlapSD,OverlapSE,ColRiskMean,ColRiskMedian,ColRiskSD,ColRiskSE
ID1,PAC_E,Total,83.33333333,100,33.33333333,16.66666667,0.000212979,3.49E-05,0.000273411,6.27E-05
ID2,PAC_E,Total,100,100,0,0,3.19E-05,2.98E-05,2.12E-05,9.47E-06
ID3,PAC_E,Total,89.47368421,89.47368421,NA,NA,2.77E-05,1.94E-05,2.60E-05,5.97E-06
ID4,PAC_E,Total,99.15966387,100,2.223320429,0.840336134,0.000312022,0.000105349,0.000542005,5.10E-05
ID5,PAC_E,Total,89.81481481,100,20.00514337,8.167065582,0.000264915,0.000102488,0.000589269,7.15E-05
ID6,PAC_E,Total,83.33333333,100,28.86751346,16.66666667,4.90E-05,5.52E-05,4.33E-05,1.12E-05
ID7,PAC_E,Total,100,100,0,0,0.00030081,6.83E-05,0.00074954,0.000126695
ID8,PAC_E,Total,33.33333333,33.33333333,NA,NA,5.87E-06,0,1.02E-05,5.87E-06
ID9,PAC_E,Total,100,100,0,0,4.29E-05,3.62E-05,2.92E-05,4.22E-06
ID10,PAC_E,Total,94.73684211,94.73684211,7.443229276,5.263157895,4.27E-05,1.79E-05,5.43E-05,9.44E-06
ID11,PAC_E,Total,100,100,NA,NA,3.31E-05,2.43E-05,1.70E-05,6.41E-06
ID12,PAC_E,Total,97.91666667,100,4.166666667,2.083333333,3.29E-05,2.89E-05,1.83E-05,2.97E-06
ID13,PAC_E,Total,100,100,0,0,0.000240168,0.000124622,0.00047568,6.09E-05
ID14,PAC_E,Total,100,100,0,0,3.94E-05,3.88E-05,1.95E-05,3.34E-06
ID15,PAC_E,Total,100,100,0,0,2.67E-05,2.38E-05,1.20E-05,1.63E-06
ID16,PAC_E,Total,92.30769231,92.30769231,NA,NA,3.28E-05,9.01E-06,4.74E-05,1.31E-05
ID17,PAC_E,Total,97.91666667,97.91666667,2.946278255,2.083333333,7.42E-05,4.72E-05,8.00E-05,1.23E-05
ID18,PAC_E,Total,100,100,NA,NA,0.000263436,0.000160276,0.00022484,7.95E-05
ID19,PAC_E,Total,100,100,NA,NA,1.79E-05,1.79E-05,1.21E-05,8.53E-06
ID20,PAC_E,Total,57.14285714,57.14285714,NA,NA,9.02E-06,1.35E-05,8.62E-06,3.26E-06
ID21,PAC_E,Total,100,100,0,0,5.16E-05,4.40E-05,3.25E-05,5.84E-06
ID22,PAC_E,Total,100,100,NA,NA,1.93E-05,1.35E-05,1.32E-05,3.98E-06
ID23,PAC_E,Total,95.58823529,100,8.823529412,4.411764706,9.46E-05,7.16E-05,0.0001081,1.85E-05
ID24,PAC_E,Total,97.77777778,100,3.849001795,2.222222222,3.33E-05,3.08E-05,1.80E-05,2.79E-06
ID25,PAC_E,Total,100,100,0,0,0.000128195,9.00E-05,0.000121133,4.95E-05
ID26,PAC_E,Total,97.77777778,100,4.96903995,2.222222222,5.37E-05,4.04E-05,4.76E-05,6.54E-06
ID27,PAC_E,Total,90,90,14.14213562,10,3.98E-05,1.01E-05,5.32E-05,2.01E-05
ID28,PAC_E,Total,100,100,0,0,4.24E-05,4.11E-05,1.87E-05,3.31E-06
ID29,IND_NW,Total,100,100,NA,NA,7.25E-05,7.25E-05,NA,NA
ID30,IND_NW,Total,100,100,0,0,7.34E-05,6.87E-05,4.15E-05,2.40E-05
ID31,IND_NW,Total,100,100,NA,NA,0.019537027,0.020331169,0.008128686,0.003318522
ID32,IND_NW,Total,100,100,0,0,5.73E-05,5.24E-05,3.71E-05,1.85E-05
ID33,IND_NW,Total,100,100,0,0,2.89E-05,2.89E-05,7.86E-06,5.56E-06
ID34,IND_NW,Total,100,100,0,0,0.007924279,0.002406172,0.01244441,0.003325909
ID35,IND_NW,Total,100,100,0,0,0.000430766,0.000381357,0.000309709,0.000154854
ID36,PAC_E,Total,100,100,0,0,0.005748745,0.001325442,0.009247816,0.003775405
ID37,PAC_E,Total,100,100,0,0,0.000789109,0.000604037,0.000730042,0.000298038
ID38,PAC_E,Total,98.41269841,100,4.199605256,1.587301587,0.003140694,0.000873191,0.006217476,0.000759586
ID39,PAC_E,Total,100,100,0,0,0.000772322,0.00012143,0.002711088,0.000181548
ID40,PAC_E,Total,100,100,0,0,0.00102024,0.000873598,0.000817454,0.000308968
ID41,PAC_E,Total,100,100,0,0,0.000958697,0.00036571,0.000999138,0.000301251
ID42,PAC_E,Total,100,100,0,0,0.000395931,6.62E-05,0.000669908,0.000299592
ID43,PAC_E,Total,100,100,0,0,0.001511709,0.001319674,0.001331847,0.000665924
ID44,PAC_E,Total,99.45652174,100,1.537188655,0.543478261,0.000382273,0.000116623,0.000922465,8.09E-05
ID45,PAC_E,Total,100,100,0,0,0.001640381,0.001838233,0.001013398,0.000506699
ID46,PAC_E,Total,100,100,0,0,0.001402356,0.001402356,0.001647649,0.001165063
ID47,PAC_E,Total,98.61111111,100,3.402069087,1.388888889,0.000472048,0.000208861,0.001108457,0.000175262
ID48,PAC_E,Total,100,100,0,0,0.000307486,0.000113166,0.000760977,5.42E-05
ID49,PAC_E,Total,100,100,0,0,0.001860142,0.000741326,0.002632021,0.000759799
ID50,PAC_E,Total,100,100,0,0,0.006930876,0.000881084,0.013033251,0.002660401
ID51,PAC_E,Total,100,100,0,0,0.013615895,0.012988701,0.001602984,0.000925483
ID52,PAC_E,Total,100,100,0,0,0.000562622,0.000484909,0.000519211,0.000211967
ID53,PAC_E,Total,50,50,NA,NA,3.10E-05,3.10E-05,4.38E-05,3.10E-05
ID54,PAC_E,Total,8.333333333,0,20.41241452,8.333333333,7.40E-06,0,1.96E-05,7.40E-06
ID55,PAC_E,Total,100,100,0,0,0.003261348,0.003261348,0.003152834,0.00222939
ID56,PAC_E,Total,NA,NA,NA,NA,NA,NA,NA,NA
ID57,PAC_E,Total,33.33333333,33.33333333,NA,NA,3.45E-05,0,5.97E-05,3.45E-05
ID58,PAC_E,Total,0,0,NA,NA,0,0,NA,NA
ID59,PAC_E,Total,70,100,44.72135955,20,0.000218086,8.34E-05,0.000298465,0.000121848
ID60,PAC_E,Total,100,100,0,0,0.000197601,0.000136051,0.000195848,9.79E-05
ID61,PAC_E,Total,97.61904762,100,4.724555913,1.785714286,0.002627211,0.000307507,0.008653798,0.00073666
ID62,PAC_E,Total,100,100,0,0,0.027165949,0.001894587,0.048192122,0.021552172
ID63,PAC_E,Total,99.12280702,100,2.148675213,0.877192982,0.000309009,9.63E-05,0.000659695,5.76E-05
ID64,PAC_E,Total,99.27536232,100,1.774992567,0.724637681,0.004737461,0.000619374,0.012014668,0.001213665
ID65,PAC_E,Total,100,100,0,0,0.008922751,0.000970491,0.023067278,0.004708588
ID66,PAC_E,Total,100,100,0,0,0.002867577,0.00083642,0.003550398,0.00077476
ID67,PAC_E,Total,100,100,0,0,0.004869091,0.005136364,0.002042064,0.001178986
ID68,PAC_E,Total,100,100,NA,NA,0.000186117,0.000186117,NA,NA
ID69,PAC_E,Total,100,100,0,0,0.001087463,0.000525919,0.000935978,0.000418582
ID70,PAC_E,Total,100,100,0,0,0.001361275,0.000560609,0.0020088,0.000205022
ID71,PAC_E,Total,98.18181818,100,4.065578141,1.818181818,0.001513041,0.000515166,0.002298968,0.000574742
ID72,PAC_E,Total,100,100,0,0,0.000804723,0.000219564,0.001356361,0.000606583
ID73,PAC_E,Total,72.91666667,100,45.37104524,16.04108688,0.000396353,9.01E-05,0.001306042,0.00014602
ID74,PAC_E,Total,85.07936508,95.23809524,21.84948166,12.61480412,0.002717799,0.000720893,0.006022003,0.000907851
ID75,PAC_E,Total,100,100,0,0,0.000743729,0.000223416,0.001140866,0.000343984
ID76,PAC_E,Total,100,100,NA,NA,0.000235402,0.000235402,NA,NA
ID77,PAC_E,Total,100,100,0,0,0.000971311,0.001106689,0.000606931,0.000247778
ID78,PAC_E,Total,91.9047619,90,7.330859199,4.232473532,0.000596534,0.000251059,0.000992869,0.000178325
ID79,PAC_E,Total,66.66666667,100,47.14045208,17.81741613,0.006750945,0.000129964,0.014532586,0.00352467
ID80,IND_E,Total,100,100,0,0,0.000339392,0.000116418,0.00037588,6.86E-05
ID81,IND_E,Total,100,100,0,0,0.000245326,7.61E-05,0.000887468,9.68E-05
ID82,IND_E,Total,80.35714286,80.35714286,7.576144084,5.357142857,0.00088996,0.000502353,0.001274204,0.000384187
ID83,IND_E,Total,50,50,70.71067812,50,0.000828716,0.000312814,0.001146876,0.00046821
ID84,IND_E,Total,100,100,0,0,0.000339068,9.09E-05,0.000628959,6.23E-05
ID85,IND_E,Total,92.18020542,91.50326797,6.259492778,3.129746389,0.000493936,0.000438996,0.000415548,6.26E-05
ID86,IND_E,Total,88.88888889,88.88888889,NA,NA,0.001021774,0.000861856,0.00067576,0.000225253
ID87,IND_E,Total,100,100,NA,NA,0.000718002,0.000674729,0.000285245,0.000127566
ID88,IND_E,Total,100,100,0,0,0.00035696,0.000315634,0.00018946,5.99E-05
ID89,IND_E,Total,100,100,NA,NA,0.001273108,0.000496189,0.001431332,0.00082638
ID90,IND_E,Total,100,100,NA,NA,5.25E-05,5.25E-05,NA,NA
ID91,IND_E,Total,100,100,NA,NA,2.70E-05,2.27E-05,1.18E-05,5.29E-06
ID92,IND_E,Total,100,100,0,0,0.000171115,0.000126368,0.000151989,6.80E-05
ID93,IND_E,Total,91.66666667,91.66666667,11.78511302,8.333333333,0.000543793,0.000519813,0.000387514,0.000146466
ID94,IND_E,Total,83.33333333,83.33333333,23.57022604,16.66666667,0.00079968,0.000335725,0.001164507,0.000582253
ID95,IND_E,Total,98.07692308,100,3.846153846,1.923076923,0.001546388,0.000377904,0.002367067,0.000328253
ID96,PAC_E,Total,100,100,0,0,0.000891457,0.000346363,0.001388806,0.000176378
ID97,PAC_E,Total,93.33333333,100,11.54700538,6.666666667,0.00053469,0.000203969,0.000782414,0.00015971
ID98,PAC_E,Total,100,100,0,0,0.000245107,7.36E-05,0.000553865,8.98E-05
ID99,PAC_W,Total,92.08333333,100,14.4637958,6.468406123,0.002675197,0.001244362,0.002938079,0.000453355
ID100,PAC_W,Total,100,100,0,0,0.000939449,0.00055439,0.001014877,0.000191794
ID101,PAC_W,Total,91.66666667,100,11.78511302,5.270462767,0.00148795,0.000758707,0.001706242,0.00026978
ID102,PAC_W,Total,100,100,0,0,0.000565315,0.00048298,0.000471429,0.00021083
ID103,PAC_W,Total,100,100,0,0,0.000365527,0.000324445,0.000267772,7.73E-05
ID104,PAC_W,Total,100,100,0,0,0.001829605,0.000615718,0.002977215,0.000482968
ID105,PAC_W,Total,100,100,NA,NA,0.000849842,0.000708507,0.000446626,0.000199737
ID106,PAC_W,Total,83.33333333,100,28.86751346,16.66666667,0.000581952,0.000301106,0.000639844,0.000226219
ID107,PAC_W,Total,77.77777778,66.66666667,19.24500897,11.11111111,0.001801274,0.000572257,0.002924933,0.00103412
ID108,PAC_W,Total,100,100,0,0,0.001715023,0.000607038,0.002074177,0.000305821
ID109,PAC_W,Total,91.66666667,100,16.66666667,8.333333333,0.000776988,0.000251474,0.001056348,0.000399262
ID110,PAC_W,Total,95,100,10,5,0.001918471,0.001009867,0.002066114,0.000573037
ID111,PAC_W,Total,100,100,0,0,0.000239111,0.000153603,0.000319074,7.98E-05
ID112,PAC_W,Total,100,100,0,0,0.004138642,0.003820117,0.001565036,0.000903574
ID113,PAC_W,Total,100,100,0,0,0.001169902,0.000566801,0.001561237,0.00040311
ID114,PAC_W,Total,50,50,70.71067812,50,0.001270883,0.001090983,0.001369723,0.00079081
ID115,PAC_W,Total,100,100,NA,NA,0.000824833,0.000310563,0.001318485,0.000538269
ID116,IND_SW,Total,100,100,NA,NA,0.000311526,0.000223563,0.000195106,6.90E-05
ID117,IND_SW,Total,100,100,NA,NA,0.001514704,0.001514704,0.001027933,0.000726859
ID118,IND_SW,Total,100,100,0,0,0.000598459,0.00041437,0.000490821,0.000131177
ID119,IND_SW,Total,100,100,0,0,0.000788229,0.000482873,0.001095059,0.000163242
ID120,IND_SW,Total,100,100,NA,NA,0.000803779,0.00038509,0.000771579,0.000314996
ID121,IND_SW,Total,100,100,NA,NA,0.001268046,0.001268046,NA,NA
ID122,IND_SW,Total,100,100,0,0,0.002610248,0.002542656,0.000937527,0.000468763
ID123,IND_SW,Total,100,100,0,0,0.000445377,0.000389255,0.000334622,6.11E-05
ID124,IND_SW,Total,100,100,NA,NA,0.00023286,0.000245617,0.000179207,8.96E-05
ID125,IND_SW,Total,100,100,NA,NA,0.000727093,0.000794251,0.000555528,0.000248439
ID126,IND_SW,Total,100,100,0,0,0.001042766,0.000479788,0.001270136,0.000423379
ID127,IND_SW,Total,100,100,0,0,0.001064762,0.00051645,0.001269376,0.000401412
ID128,IND_SW,Total,83.33333333,100,28.86751346,16.66666667,0.001001796,0.000633115,0.001076565,0.000287724
ID129,IND_SW,Total,100,100,NA,NA,0.000610538,0.000668285,0.000248394,8.78E-05
ID130,PAC_W,Total,83.33333333,91.66666667,19.24500897,6.085806195,0.000671082,0.000141573,0.001834264,0.000346643
ID131,PAC_W,Total,100,100,0,0,0.000144341,9.11E-05,0.000140972,4.25E-05
ID132,PAC_W,Total,77.77777778,66.66666667,17.39163982,5.243776708,0.000452259,0.000186758,0.000574419,8.86E-05
ID133,PAC_W,Total,93.51851852,100,12.93889059,3.735135982,0.00087466,0.000309264,0.002062858,0.000297748
ID134,PAC_W,Total,68.81944444,70.83333333,27.17892996,7.845881266,0.000216532,0.000200901,0.000238602,3.73E-05
ID135,PAC_W,Total,88.74458874,100,14.59354488,4.40011934,0.00053591,0.000292393,0.000759061,9.97E-05
ID136,PAC_W,Total,100,100,0,0,0.000976927,0.000512096,0.001155476,0.000130832
ID137,PAC_W,Total,53.33333333,60,33.36109955,10.54970598,0.000540029,8.65E-05,0.001275206,0.000218696
ID138,PAC_W,Total,88.95833333,100,16.46516448,4.753083573,0.000874317,0.000516726,0.001134216,0.000113422
ID139,PAC_W,Total,68.8034188,66.66666667,31.84940307,9.194130718,0.000377216,0.000176827,0.000464471,6.64E-05
ID140,PAC_W,Total,56,50,37.8153408,16.91153453,0.00016663,9.98E-05,0.000203103,4.43E-05
ID141,PAC_W,Total,90,100,21.08185107,6.666666667,0.000447499,0.000342047,0.000434131,6.08E-05
ID142,PAC_W,Total,72.91666667,83.33333333,35.56516487,12.57418463,0.000184224,0.000116163,0.000183813,3.68E-05
ID143,PAC_W,Total,69.79166667,70.83333333,31.47734761,11.12892298,0.000262446,0.000157217,0.000352913,6.24E-05
ID144,PAC_W,Total,76.38888889,100,32.92042237,9.503307357,0.000165291,4.83E-05,0.000299211,6.69E-05
ID145,PAC_W,Total,69.79166667,70.83333333,33.90506705,11.98725141,0.000189757,0.00012054,0.000207546,4.42E-05
ID146,PAC_W,Total,100,100,0,0,0.000230605,0.000147707,0.000300218,8.67E-05
ID147,PAC_W,Total,95.92592593,100,8.127077132,2.709025711,0.000584163,0.000224055,0.00099511,0.000102096
ID148,PAC_W,Total,68.22916667,79.16666667,33.77222225,11.94028369,0.000474839,0.000212965,0.000673394,0.000127259
ID149,PAC_W,Total,100,100,0,0,0.000231983,6.96E-05,0.000449214,0.000105881
ID150,PAC_W,Total,100,100,0,0,0.001200119,0.001023685,0.001068281,0.000201886
ID151,PAC_W,Total,100,100,0,0,0.001048274,0.000218714,0.001924895,0.000290189
ID152,PAC_W,Total,100,100,0,0,0.000564966,0.000314608,0.000631903,0.000113493
ID153,PAC_W,Total,69.53042328,69.04761905,13.9454613,4.025707917,0.000540921,0.000454306,0.000500301,6.87E-05
ID154,PAC_W,Total,86.36363636,100,23.35496832,7.041787902,0.000370009,0.000116763,0.000543218,0.00013175
ID155,PAC_W,Total,100,100,0,0,0.000607511,0.000441562,0.000513742,0.000132647
ID156,PAC_W,Total,85.99173554,100,29.91504374,9.019725062,0.000888812,0.000456047,0.001154737,0.00011378
ID157,PAC_W,Total,98.33333333,100,5.773502692,1.666666667,0.000985027,0.00058731,0.001525466,0.000127566
ID158,IND_E,Total,76.51515152,100,40.62330028,12.24838589,0.001713864,0.001186705,0.002009096,0.000284129
ID159,IND_E,Total,66.66666667,100,43.30127019,14.43375673,0.00034513,0.000103717,0.000614661,0.000170476
ID160,IND_E,Total,72.22222222,95.83333333,38.65368992,11.15835914,0.002078889,0.000956026,0.00290773,0.000465609
ID161,IND_E,Total,63.88888889,83.33333333,43.13084001,12.45080105,0.000463876,0.00020428,0.000726129,0.000158454
ID162,PAC_W,Total,81.25,85.41666667,17.36237369,5.012085562,0.000640137,0.000412499,0.000817084,0.000109187
ID163,PAC_W,Total,84.51028139,89.20454545,17.57356745,5.073051948,0.000436343,0.000238198,0.000573412,6.67E-05
ID164,PAC_W,Total,86.58008658,100,17.56177071,5.295073101,0.000558619,0.000347678,0.000721886,9.48E-05
ID165,PAC_W,Total,100,100,0,0,0.001284955,0.000567058,0.001584647,0.000253747
ID166,IND_E,Total,62.5,75,43.30127019,12.5,0.000305149,0.000137649,0.000458984,0.000100159
ID167,IND_E,Total,50,50,53.45224838,18.89822365,0.000112678,7.85E-05,0.000158175,4.77E-05
ID168,PAC_W,Total,100,100,0,0,0.000767976,0.000433876,0.000997895,0.000208075
ID169,PAC_W,Total,97.34848485,100,5.972369037,1.800737019,0.002026755,0.000376096,0.004399148,0.00049184
ID170,IND_E,Total,58.33333333,75,46.87184333,13.53073568,0.000544937,0.000100918,0.001168118,0.000275328
ID171,PAC_W,Total,91.03642066,97.0959596,15.93451986,4.599899664,0.000663874,0.000211335,0.002097463,0.000127412
ID172,PAC_W,Total,75.71428571,100,38.23486317,14.45141991,0.000220576,0.000156044,0.000401899,8.77E-05
ID173,IND_E,Total,74.07407407,100,43.39027598,14.46342533,0.003535876,0.000142832,0.006660879,0.00166522
ID174,PAC_W,Total,31.94444444,25,33.6787657,9.722222222,0.000117176,0,0.000210275,4.38E-05
ID175,PAC_W,Total,80.55555556,83.33333333,22.15266893,9.04378922,0.000120226,4.30E-05,0.000192071,5.54E-05
